	dtm	0.1	0.2	0.3	0.4	0.5
1318	2019-12-28 11:00:00	0.0347231673980568	1.4573922587274403e-05	3.743445282707745e-06	3.865385814283278e-06	1.929395165133213e-06
1319	2019-12-28 11:30:00	0.047426527608156	1.5099082958232918e-05	4.215195588133918e-06	3.4147993179976073e-06	2.6970365341371104e-06
1320	2019-12-28 12:00:00	0.00781167016975697	1.2892325752911165e-05	4.058638550504519e-06	3.4565782326976933e-06	1.8410119473603063e-06
1321	2019-12-28 12:30:00	0.003933192314288317	1.1578062100314611e-05	4.2228264191662445e-06	3.5580774022787355e-06	1.7357043106918552e-06
1322	2019-12-28 13:00:00	0.019650468940507666	7.500848575639418e-06	1.534777323224411e-06	2.034615238393506e-06	1.1734639166329727e-06
1323	2019-12-28 13:30:00	0.032839998880216666	3.225162673945341e-05	1.1390596251880656e-05	7.754141367015042e-06	6.2236832327571996e-06
1324	2019-12-28 14:00:00	0.057774180675837124	5.5652540248614435e-05	2.141676125663817e-05	1.2689811138398363e-05	1.0384718283329034e-05
1325	2019-12-28 14:30:00	0.010616687370615272	7.059653809925951e-06	2.161350677938449e-06	9.561232197229482e-07	8.219229417132426e-07
1326	2019-12-28 15:00:00	0.01645367169900083	5.774625143875287e-06	2.0827118746975724e-06	1.5242922652293542e-06	6.306968560669767e-07
1327	2019-12-28 15:30:00	0.02492922251677575	1.5805813120853135e-05	7.241132037567665e-06	3.8057407152648607e-06	2.8525728063004356e-06
1328	2019-12-28 16:00:00	0.01388317039307101	9.846612621666397e-06	2.611543442544621e-06	1.9806311921403146e-06	1.445295957726149e-06
1329	2019-12-28 16:30:00	0.05169946017392676	2.4338156921266986e-05	9.019118852823633e-06	5.941379068929925e-06	4.593389833465322e-06
1330	2019-12-28 17:00:00	0.03325816865250808	2.005612151093664e-05	7.724518295128217e-06	5.6756442563909505e-06	3.280369916091257e-06
1331	2019-12-28 17:30:00	0.020967285906947877	8.095541045694708e-06	2.1913138816055696e-06	3.0656692275039287e-06	1.5715635965768589e-06
1332	2019-12-28 18:00:00	0.030527643336438468	1.7331765061917573e-05	4.7882308891497375e-06	2.981005843463285e-06	4.717332292815482e-06
1333	2019-12-28 18:30:00	0.04166278974017055	1.1809223452820408e-05	4.126772247905899e-06	2.587815848370294e-06	2.1940973578956344e-06
1334	2019-12-28 19:00:00	0.051483527835795635	7.5167452802368155e-06	1.973750903177105e-06	1.6872125309165033e-06	9.47396349079048e-07
1335	2019-12-28 19:30:00	0.019784847879502243	9.016863951991213e-06	1.5029639906911756e-06	1.1219301340093837e-06	6.899693338170168e-07
1336	2019-12-28 20:00:00	0.01310423846632106	1.6659768775373735e-05	3.9526083109705294e-06	1.8290368569362154e-06	3.0788479797416355e-06
1337	2019-12-28 20:30:00	0.01616924894849727	1.6787326050606026e-05	4.345372845915319e-06	2.8072723897440595e-06	3.232391351597604e-06
1338	2019-12-28 21:00:00	0.018691292509460194	1.720615056637619e-05	6.119956885325701e-06	3.3001423445674746e-06	2.2111259629297536e-06
1339	2019-12-28 21:30:00	0.03422024769715219	1.360843193709798e-05	3.631409285590792e-06	2.2283414512767193e-06	1.641723657936818e-06
1340	2019-12-28 22:00:00	0.021028949697102933	1.0481937387751e-05	2.72703198332071e-06	1.5544090957675713e-06	8.150001768403014e-07
1341	2019-12-28 22:30:00	0.019835804643223386	1.3141636651278846e-05	2.891808096558546e-06	1.3137959654630743e-06	9.209824880472137e-07
1342	2019-12-28 23:00:00	0.04775131434492562	1.4395645937578626e-05	2.9401744264687396e-06	2.146598941082707e-06	2.2657160728540024e-06
1343	2019-12-28 23:30:00	0.008440429129118163	3.7510656818647734e-05	9.428081248332649e-06	7.2192527906681215e-06	7.37077508585169e-06
